Year and Quarter,Topic,Topic Subgroup,Indicator,Race Ethnicity Category,Rate,Unit,Significant
2020 Q3,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Hispanic,2.54,per 100 births,
2020 Q3,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Non-Hispanic Black,4.86,per 100 births,
2020 Q3,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Non-Hispanic White,2.23,per 100 births,
2020 Q3,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),All races and origins,7.43,per 100 births,
2020 Q3,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Hispanic,7.35,per 100 births,
2020 Q3,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Non-Hispanic Black,9.53,per 100 births,
2020 Q3,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Non-Hispanic White,6.94,per 100 births,
2020 Q3,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),All races and origins,10.15,per 100 births,
2020 Q3,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Hispanic,9.89,per 100 births,
2020 Q3,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Non-Hispanic Black,14.39,per 100 births,
2020 Q3,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Non-Hispanic White,9.17,per 100 births,
2020 Q3,Gestational Age,Term Birth Rates,Early term (37-38 weeks),All races and origins,27.69,per 100 births,
2020 Q3,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Hispanic,28.92,per 100 births,
2020 Q3,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Non-Hispanic Black,31.05,per 100 births,
2020 Q3,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Non-Hispanic White,25.89,per 100 births,
2020 Q3,Gestational Age,Term Birth Rates,Full term (39-40 weeks),All races and origins,57.01,per 100 births,
2020 Q3,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Hispanic,56.59,per 100 births,
2020 Q3,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Non-Hispanic Black,50.55,per 100 births,
2020 Q3,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Non-Hispanic White,59.10,per 100 births,
2020 Q3,Gestational Age,Term Birth Rates,Late term (41 weeks),All races and origins,5.15,per 100 births,
2020 Q3,Gestational Age,Term Birth Rates,Late term (41 weeks),Hispanic,4.61,per 100 births,
2020 Q3,Gestational Age,Term Birth Rates,Late term (41 weeks),Non-Hispanic Black,4.01,per 100 births,
2020 Q3,Gestational Age,Term Birth Rates,Late term (41 weeks),Non-Hispanic White,5.85,per 100 births,
2020 Q3,Method of Delivery,Cesarean Delivery Rates,Cesarean,All races and origins,31.80,per 100 births,
2020 Q3,Method of Delivery,Cesarean Delivery Rates,Cesarean,Hispanic,31.40,per 100 births,
2020 Q3,Method of Delivery,Cesarean Delivery Rates,Cesarean,Non-Hispanic Black,36.10,per 100 births,
2020 Q3,Method of Delivery,Cesarean Delivery Rates,Cesarean,Non-Hispanic White,30.80,per 100 births,
2020 Q3,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,All races and origins,25.80,per 100 births,
2020 Q3,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Hispanic,25.00,per 100 births,
2020 Q3,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Non-Hispanic Black,30.30,per 100 births,
2020 Q3,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Non-Hispanic White,24.80,per 100 births,
2020 Q3,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,All races and origins,13.80,per 100 births,
2020 Q3,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Hispanic,13.40,per 100 births,
2020 Q3,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Non-Hispanic Black,13.60,per 100 births,
2020 Q3,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Non-Hispanic White,13.90,per 100 births,
2020 Q3,NICU Admission,NICU Admission Rates,NICU Admission,All races and origins,9.30,per 100 births,
2020 Q3,NICU Admission,NICU Admission Rates,NICU Admission,Hispanic,8.70,per 100 births,
2020 Q3,NICU Admission,NICU Admission Rates,NICU Admission,Non-Hispanic Black,12.70,per 100 births,
2020 Q3,NICU Admission,NICU Admission Rates,NICU Admission,Non-Hispanic White,8.70,per 100 births,
2020 Q3,Source of Payment for the Delivery,Medicaid,Medicaid,All races and origins,42.00,per 100 births,
2020 Q3,Source of Payment for the Delivery,Medicaid,Medicaid,Hispanic,58.60,per 100 births,
2020 Q3,Source of Payment for the Delivery,Medicaid,Medicaid,Non-Hispanic Black,64.70,per 100 births,
2020 Q3,Source of Payment for the Delivery,Medicaid,Medicaid,Non-Hispanic White,29.30,per 100 births,
2020 Q2,Birth Rates,Age-specific Birth Rates,10-14 years,All races and origins,0.20,"per 1,000 population",
2020 Q2,Birth Rates,Age-specific Birth Rates,10-14 years,Hispanic,0.30,"per 1,000 population",
2020 Q2,Birth Rates,Age-specific Birth Rates,10-14 years,Non-Hispanic Black,0.40,"per 1,000 population",
2020 Q2,Birth Rates,Age-specific Birth Rates,10-14 years,Non-Hispanic White,0.10,"per 1,000 population",
2020 Q2,Birth Rates,Age-specific Birth Rates,15-19 years,All races and origins,16.10,"per 1,000 population",
2020 Q2,Birth Rates,Age-specific Birth Rates,15-19 years,Hispanic,24.60,"per 1,000 population",
2020 Q2,Birth Rates,Age-specific Birth Rates,15-19 years,Non-Hispanic Black,25.40,"per 1,000 population",
2020 Q2,Birth Rates,Age-specific Birth Rates,15-19 years,Non-Hispanic White,10.90,"per 1,000 population",
2020 Q2,Birth Rates,Age-specific Birth Rates,20-24 years,All races and origins,65.50,"per 1,000 population",
2020 Q2,Birth Rates,Age-specific Birth Rates,20-24 years,Hispanic,86.30,"per 1,000 population",
2020 Q2,Birth Rates,Age-specific Birth Rates,20-24 years,Non-Hispanic Black,87.10,"per 1,000 population",
2020 Q2,Birth Rates,Age-specific Birth Rates,20-24 years,Non-Hispanic White,55.10,"per 1,000 population",
2020 Q2,Birth Rates,Age-specific Birth Rates,25-29 years,All races and origins,92.60,"per 1,000 population",
2020 Q2,Birth Rates,Age-specific Birth Rates,25-29 years,Hispanic,107.20,"per 1,000 population",
2020 Q2,Birth Rates,Age-specific Birth Rates,25-29 years,Non-Hispanic Black,96.00,"per 1,000 population",
2020 Q2,Birth Rates,Age-specific Birth Rates,25-29 years,Non-Hispanic White,89.60,"per 1,000 population",
2020 Q2,Birth Rates,Age-specific Birth Rates,30-34 years,All races and origins,97.50,"per 1,000 population",
2020 Q2,Birth Rates,Age-specific Birth Rates,30-34 years,Hispanic,95.90,"per 1,000 population",
2020 Q2,Birth Rates,Age-specific Birth Rates,30-34 years,Non-Hispanic Black,82.30,"per 1,000 population",
2020 Q2,Birth Rates,Age-specific Birth Rates,30-34 years,Non-Hispanic White,100.80,"per 1,000 population",
2020 Q2,Birth Rates,Age-specific Birth Rates,35-39 years,All races and origins,52.80,"per 1,000 population",
2020 Q2,Birth Rates,Age-specific Birth Rates,35-39 years,Hispanic,54.70,"per 1,000 population",
2020 Q2,Birth Rates,Age-specific Birth Rates,35-39 years,Non-Hispanic Black,48.10,"per 1,000 population",
2020 Q2,Birth Rates,Age-specific Birth Rates,35-39 years,Non-Hispanic White,51.00,"per 1,000 population",
2020 Q2,Birth Rates,Age-specific Birth Rates,40-44 years,All races and origins,12.10,"per 1,000 population",
2020 Q2,Birth Rates,Age-specific Birth Rates,40-44 years,Hispanic,14.70,"per 1,000 population",
2020 Q2,Birth Rates,Age-specific Birth Rates,40-44 years,Non-Hispanic Black,12.80,"per 1,000 population",
2020 Q2,Birth Rates,Age-specific Birth Rates,40-44 years,Non-Hispanic White,10.50,"per 1,000 population",
2020 Q2,Birth Rates,Age-specific Birth Rates,45+ years,All races and origins,1.00,"per 1,000 population",
2020 Q2,Birth Rates,Age-specific Birth Rates,45+ years,Hispanic,1.00,"per 1,000 population",
2020 Q2,Birth Rates,Age-specific Birth Rates,45+ years,Non-Hispanic Black,1.10,"per 1,000 population",
2020 Q2,Birth Rates,Age-specific Birth Rates,45+ years,Non-Hispanic White,0.80,"per 1,000 population",
2020 Q2,Birth Rates,General Fertility Rates,15-44 years,All races and origins,57.60,"per 1,000 population",
2020 Q2,Birth Rates,General Fertility Rates,15-44 years,Hispanic,64.70,"per 1,000 population",
2020 Q2,Birth Rates,General Fertility Rates,15-44 years,Non-Hispanic Black,61.00,"per 1,000 population",
2020 Q2,Birth Rates,General Fertility Rates,15-44 years,Non-Hispanic White,54.70,"per 1,000 population",
2020 Q2,Birth Rates,Teen Birth Rates,10-14 years,All races and origins,0.20,"per 1,000 population",
2020 Q2,Birth Rates,Teen Birth Rates,10-14 years,Hispanic,0.30,"per 1,000 population",
2020 Q2,Birth Rates,Teen Birth Rates,10-14 years,Non-Hispanic Black,0.40,"per 1,000 population",
2020 Q2,Birth Rates,Teen Birth Rates,10-14 years,Non-Hispanic White,0.10,"per 1,000 population",
2020 Q2,Birth Rates,Teen Birth Rates,15-17 years,All races and origins,6.50,"per 1,000 population",
2020 Q2,Birth Rates,Teen Birth Rates,15-17 years,Hispanic,11.00,"per 1,000 population",
2020 Q2,Birth Rates,Teen Birth Rates,15-17 years,Non-Hispanic Black,11.00,"per 1,000 population",
2020 Q2,Birth Rates,Teen Birth Rates,15-17 years,Non-Hispanic White,3.70,"per 1,000 population",
2020 Q2,Birth Rates,Teen Birth Rates,18-19 years,All races and origins,30.20,"per 1,000 population",
2020 Q2,Birth Rates,Teen Birth Rates,18-19 years,Hispanic,45.20,"per 1,000 population",
2020 Q2,Birth Rates,Teen Birth Rates,18-19 years,Non-Hispanic Black,45.80,"per 1,000 population",
2020 Q2,Birth Rates,Teen Birth Rates,18-19 years,Non-Hispanic White,21.50,"per 1,000 population",
2020 Q2,Birth Rates,Teen Birth Rates,15-19 years,All races and origins,16.10,"per 1,000 population",
2020 Q2,Birth Rates,Teen Birth Rates,15-19 years,Hispanic,24.60,"per 1,000 population",
2020 Q2,Birth Rates,Teen Birth Rates,15-19 years,Non-Hispanic Black,25.40,"per 1,000 population",
2020 Q2,Birth Rates,Teen Birth Rates,15-19 years,Non-Hispanic White,10.90,"per 1,000 population",
2020 Q2,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",All races and origins,8.30,per 100 births,
2020 Q2,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Hispanic,7.48,per 100 births,
2020 Q2,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Non-Hispanic Black,14.17,per 100 births,
2020 Q2,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Non-Hispanic White,6.89,per 100 births,
2020 Q2,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),All races and origins,2.74,per 100 births,
2020 Q2,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Hispanic,2.56,per 100 births,
2020 Q2,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Non-Hispanic Black,4.92,per 100 births,
2020 Q2,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Non-Hispanic White,2.24,per 100 births,
2020 Q2,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),All races and origins,7.43,per 100 births,
2020 Q2,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Hispanic,7.34,per 100 births,
2020 Q2,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Non-Hispanic Black,9.43,per 100 births,
2020 Q2,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Non-Hispanic White,6.95,per 100 births,
2020 Q2,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),All races and origins,10.17,per 100 births,
2020 Q2,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Hispanic,9.90,per 100 births,
2020 Q2,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Non-Hispanic Black,14.35,per 100 births,
2020 Q2,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Non-Hispanic White,9.19,per 100 births,
2020 Q2,Gestational Age,Term Birth Rates,Early term (37-38 weeks),All races and origins,27.53,per 100 births,
2020 Q2,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Hispanic,28.80,per 100 births,
2020 Q2,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Non-Hispanic Black,30.81,per 100 births,
2020 Q2,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Non-Hispanic White,25.74,per 100 births,
2020 Q2,Gestational Age,Term Birth Rates,Full term (39-40 weeks),All races and origins,57.10,per 100 births,
2020 Q2,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Hispanic,56.64,per 100 births,
2020 Q2,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Non-Hispanic Black,50.78,per 100 births,
2020 Q2,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Non-Hispanic White,59.15,per 100 births,
2020 Q2,Gestational Age,Term Birth Rates,Late term (41 weeks),All races and origins,5.21,per 100 births,
2020 Q2,Gestational Age,Term Birth Rates,Late term (41 weeks),Hispanic,4.66,per 100 births,
2020 Q2,Gestational Age,Term Birth Rates,Late term (41 weeks),Non-Hispanic Black,4.06,per 100 births,
2020 Q2,Gestational Age,Term Birth Rates,Late term (41 weeks),Non-Hispanic White,5.92,per 100 births,
2020 Q2,Method of Delivery,Cesarean Delivery Rates,Cesarean,All races and origins,31.70,per 100 births,
2020 Q2,Method of Delivery,Cesarean Delivery Rates,Cesarean,Hispanic,31.30,per 100 births,
2020 Q2,Method of Delivery,Cesarean Delivery Rates,Cesarean,Non-Hispanic Black,35.90,per 100 births,
2020 Q2,Method of Delivery,Cesarean Delivery Rates,Cesarean,Non-Hispanic White,30.70,per 100 births,
2020 Q2,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,All races and origins,25.60,per 100 births,
2020 Q2,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Hispanic,24.80,per 100 births,
2020 Q2,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Non-Hispanic Black,30.10,per 100 births,
2020 Q2,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Non-Hispanic White,24.70,per 100 births,
2020 Q2,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,All races and origins,13.80,per 100 births,
2020 Q2,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Hispanic,13.40,per 100 births,
2020 Q2,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Non-Hispanic Black,13.70,per 100 births,
2020 Q2,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Non-Hispanic White,13.90,per 100 births,
2020 Q2,NICU Admission,NICU Admission Rates,NICU Admission,All races and origins,9.30,per 100 births,
2020 Q2,NICU Admission,NICU Admission Rates,NICU Admission,Hispanic,8.80,per 100 births,
2020 Q2,NICU Admission,NICU Admission Rates,NICU Admission,Non-Hispanic Black,12.60,per 100 births,
2020 Q2,NICU Admission,NICU Admission Rates,NICU Admission,Non-Hispanic White,8.70,per 100 births,
2020 Q2,Source of Payment for the Delivery,Medicaid,Medicaid,All races and origins,42.00,per 100 births,
2020 Q2,Source of Payment for the Delivery,Medicaid,Medicaid,Hispanic,58.70,per 100 births,
2020 Q2,Source of Payment for the Delivery,Medicaid,Medicaid,Non-Hispanic Black,64.80,per 100 births,
2020 Q2,Source of Payment for the Delivery,Medicaid,Medicaid,Non-Hispanic White,29.30,per 100 births,
2020 Q1,Birth Rates,Age-specific Birth Rates,10-14 years,All races and origins,0.20,"per 1,000 population",
2020 Q1,Birth Rates,Age-specific Birth Rates,10-14 years,Hispanic,0.30,"per 1,000 population",
2020 Q1,Birth Rates,Age-specific Birth Rates,10-14 years,Non-Hispanic Black,0.40,"per 1,000 population",
2020 Q1,Birth Rates,Age-specific Birth Rates,10-14 years,Non-Hispanic White,0.10,"per 1,000 population",
2020 Q1,Birth Rates,Age-specific Birth Rates,15-19 years,All races and origins,16.40,"per 1,000 population",
2020 Q1,Birth Rates,Age-specific Birth Rates,15-19 years,Hispanic,25.00,"per 1,000 population",
2020 Q1,Birth Rates,Age-specific Birth Rates,15-19 years,Non-Hispanic Black,25.60,"per 1,000 population",
2020 Q1,Birth Rates,Age-specific Birth Rates,15-19 years,Non-Hispanic White,11.20,"per 1,000 population",
2020 Q1,Birth Rates,Age-specific Birth Rates,20-24 years,All races and origins,66.20,"per 1,000 population",
2020 Q1,Birth Rates,Age-specific Birth Rates,20-24 years,Hispanic,87.40,"per 1,000 population",
2020 Q1,Birth Rates,Age-specific Birth Rates,20-24 years,Non-Hispanic Black,87.90,"per 1,000 population",
2020 Q1,Birth Rates,Age-specific Birth Rates,20-24 years,Non-Hispanic White,55.80,"per 1,000 population",
2020 Q1,Birth Rates,Age-specific Birth Rates,25-29 years,All races and origins,93.60,"per 1,000 population",
2020 Q1,Birth Rates,Age-specific Birth Rates,25-29 years,Hispanic,108.10,"per 1,000 population",
2020 Q1,Birth Rates,Age-specific Birth Rates,25-29 years,Non-Hispanic Black,96.50,"per 1,000 population",
2020 Q1,Birth Rates,Age-specific Birth Rates,25-29 years,Non-Hispanic White,90.70,"per 1,000 population",
2020 Q1,Birth Rates,Age-specific Birth Rates,30-34 years,All races and origins,98.30,"per 1,000 population",
2020 Q1,Birth Rates,Age-specific Birth Rates,30-34 years,Hispanic,96.60,"per 1,000 population",
2020 Q1,Birth Rates,Age-specific Birth Rates,30-34 years,Non-Hispanic Black,82.60,"per 1,000 population",
2020 Q1,Birth Rates,Age-specific Birth Rates,30-34 years,Non-Hispanic White,101.60,"per 1,000 population",
2020 Q1,Birth Rates,Age-specific Birth Rates,35-39 years,All races and origins,52.80,"per 1,000 population",
2020 Q1,Birth Rates,Age-specific Birth Rates,35-39 years,Hispanic,54.50,"per 1,000 population",
2020 Q1,Birth Rates,Age-specific Birth Rates,35-39 years,Non-Hispanic Black,48.00,"per 1,000 population",
2020 Q1,Birth Rates,Age-specific Birth Rates,35-39 years,Non-Hispanic White,51.10,"per 1,000 population",
2020 Q1,Birth Rates,Age-specific Birth Rates,40-44 years,All races and origins,12.10,"per 1,000 population",
2020 Q1,Birth Rates,Age-specific Birth Rates,40-44 years,Hispanic,14.60,"per 1,000 population",
2020 Q1,Birth Rates,Age-specific Birth Rates,40-44 years,Non-Hispanic Black,12.70,"per 1,000 population",
2020 Q1,Birth Rates,Age-specific Birth Rates,40-44 years,Non-Hispanic White,10.40,"per 1,000 population",
2020 Q1,Birth Rates,Age-specific Birth Rates,45+ years,All races and origins,0.90,"per 1,000 population",
2020 Q1,Birth Rates,Age-specific Birth Rates,45+ years,Hispanic,1.00,"per 1,000 population",
2020 Q1,Birth Rates,Age-specific Birth Rates,45+ years,Non-Hispanic Black,1.10,"per 1,000 population",
2020 Q1,Birth Rates,Age-specific Birth Rates,45+ years,Non-Hispanic White,0.80,"per 1,000 population",
2020 Q1,Birth Rates,General Fertility Rates,15-44 years,All races and origins,58.10,"per 1,000 population",
2020 Q1,Birth Rates,General Fertility Rates,15-44 years,Hispanic,65.20,"per 1,000 population",
2020 Q1,Birth Rates,General Fertility Rates,15-44 years,Non-Hispanic Black,61.30,"per 1,000 population",
2020 Q1,Birth Rates,General Fertility Rates,15-44 years,Non-Hispanic White,55.20,"per 1,000 population",
2020 Q1,Birth Rates,Teen Birth Rates,10-14 years,All races and origins,0.20,"per 1,000 population",
2020 Q1,Birth Rates,Teen Birth Rates,10-14 years,Hispanic,0.30,"per 1,000 population",
2020 Q1,Birth Rates,Teen Birth Rates,10-14 years,Non-Hispanic Black,0.40,"per 1,000 population",
2020 Q1,Birth Rates,Teen Birth Rates,10-14 years,Non-Hispanic White,0.10,"per 1,000 population",
2020 Q1,Birth Rates,Teen Birth Rates,15-17 years,All races and origins,6.60,"per 1,000 population",
2020 Q1,Birth Rates,Teen Birth Rates,15-17 years,Hispanic,11.30,"per 1,000 population",
2020 Q1,Birth Rates,Teen Birth Rates,15-17 years,Non-Hispanic Black,11.10,"per 1,000 population",
2020 Q1,Birth Rates,Teen Birth Rates,15-17 years,Non-Hispanic White,3.70,"per 1,000 population",
2020 Q1,Birth Rates,Teen Birth Rates,18-19 years,All races and origins,30.70,"per 1,000 population",
2020 Q1,Birth Rates,Teen Birth Rates,18-19 years,Hispanic,45.80,"per 1,000 population",
2020 Q1,Birth Rates,Teen Birth Rates,18-19 years,Non-Hispanic Black,46.10,"per 1,000 population",
2020 Q1,Birth Rates,Teen Birth Rates,18-19 years,Non-Hispanic White,21.90,"per 1,000 population",
2020 Q1,Birth Rates,Teen Birth Rates,15-19 years,All races and origins,16.40,"per 1,000 population",
2020 Q1,Birth Rates,Teen Birth Rates,15-19 years,Hispanic,25.00,"per 1,000 population",
2020 Q1,Birth Rates,Teen Birth Rates,15-19 years,Non-Hispanic Black,25.60,"per 1,000 population",
2020 Q1,Birth Rates,Teen Birth Rates,15-19 years,Non-Hispanic White,11.20,"per 1,000 population",
2020 Q1,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",All races and origins,8.32,per 100 births,
2020 Q1,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Hispanic,7.55,per 100 births,
2020 Q1,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Non-Hispanic Black,14.20,per 100 births,
2020 Q1,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Non-Hispanic White,6.91,per 100 births,
2020 Q1,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),All races and origins,2.76,per 100 births,
2020 Q1,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Hispanic,2.60,per 100 births,
2020 Q1,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Non-Hispanic Black,4.95,per 100 births,
2020 Q1,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Non-Hispanic White,2.26,per 100 births,
2020 Q1,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),All races and origins,7.47,per 100 births,
2020 Q1,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Hispanic,7.39,per 100 births,
2020 Q1,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Non-Hispanic Black,9.49,per 100 births,
2020 Q1,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Non-Hispanic White,6.99,per 100 births,
2020 Q1,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),All races and origins,10.23,per 100 births,
2020 Q1,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Hispanic,9.99,per 100 births,
2020 Q1,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Non-Hispanic Black,14.44,per 100 births,
2020 Q1,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Non-Hispanic White,9.25,per 100 births,
2020 Q1,Gestational Age,Term Birth Rates,Early term (37-38 weeks),All races and origins,27.49,per 100 births,
2020 Q1,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Hispanic,28.81,per 100 births,
2020 Q1,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Non-Hispanic Black,30.65,per 100 births,
2020 Q1,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Non-Hispanic White,25.74,per 100 births,
2020 Q1,Gestational Age,Term Birth Rates,Full term (39-40 weeks),All races and origins,57.00,per 100 births,
2020 Q1,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Hispanic,56.50,per 100 births,
2020 Q1,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Non-Hispanic Black,50.77,per 100 births,
2020 Q1,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Non-Hispanic White,59.02,per 100 births,
2020 Q1,Gestational Age,Term Birth Rates,Late term (41 weeks),All races and origins,5.28,per 100 births,
2020 Q1,Gestational Age,Term Birth Rates,Late term (41 weeks),Hispanic,4.70,per 100 births,
2020 Q1,Gestational Age,Term Birth Rates,Late term (41 weeks),Non-Hispanic Black,4.13,per 100 births,
2020 Q1,Gestational Age,Term Birth Rates,Late term (41 weeks),Non-Hispanic White,5.99,per 100 births,
2020 Q1,Method of Delivery,Cesarean Delivery Rates,Cesarean,All races and origins,31.70,per 100 births,
2020 Q1,Method of Delivery,Cesarean Delivery Rates,Cesarean,Hispanic,31.30,per 100 births,
2020 Q1,Method of Delivery,Cesarean Delivery Rates,Cesarean,Non-Hispanic Black,35.90,per 100 births,
2020 Q1,Method of Delivery,Cesarean Delivery Rates,Cesarean,Non-Hispanic White,30.70,per 100 births,
2020 Q1,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,All races and origins,25.60,per 100 births,
2020 Q1,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Hispanic,24.70,per 100 births,
2020 Q1,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Non-Hispanic Black,29.90,per 100 births,
2020 Q1,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Non-Hispanic White,24.70,per 100 births,
2020 Q1,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,All races and origins,13.80,per 100 births,
2020 Q1,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Hispanic,13.30,per 100 births,
2020 Q1,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Non-Hispanic Black,13.70,per 100 births,
2020 Q1,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Non-Hispanic White,13.90,per 100 births,
2020 Q1,NICU Admission,NICU Admission Rates,NICU Admission,All races and origins,9.40,per 100 births,
2020 Q1,NICU Admission,NICU Admission Rates,NICU Admission,Hispanic,8.80,per 100 births,
2020 Q1,NICU Admission,NICU Admission Rates,NICU Admission,Non-Hispanic Black,12.60,per 100 births,
2020 Q1,NICU Admission,NICU Admission Rates,NICU Admission,Non-Hispanic White,8.80,per 100 births,
2020 Q1,Source of Payment for the Delivery,Medicaid,Medicaid,All races and origins,42.00,per 100 births,
2020 Q1,Source of Payment for the Delivery,Medicaid,Medicaid,Hispanic,58.90,per 100 births,
2020 Q1,Source of Payment for the Delivery,Medicaid,Medicaid,Non-Hispanic Black,64.80,per 100 births,
2020 Q1,Source of Payment for the Delivery,Medicaid,Medicaid,Non-Hispanic White,29.30,per 100 births,
